2022-08-03 10:27:48,363 | MainThread   | INFO  | Got logger
2022-08-03 10:28:23,006 | MainThread   | INFO  | Got logger
2022-08-03 10:33:10,496 | MainThread   | INFO  | Got logger
2022-08-04 16:49:48,860 | MainThread   | INFO  | Got logger
2022-08-05 10:16:33,478 | MainThread   | INFO  | Got logger
2022-08-05 10:17:49,111 | MainThread   | INFO  | Got logger
2022-08-05 10:18:06,370 | MainThread   | INFO  | Got logger
2022-08-05 10:20:55,249 | MainThread   | INFO  | Got logger
2022-08-05 17:44:27,394 | MainThread   | INFO  | Got logger
2022-08-05 17:44:37,209 | MainThread   | INFO  | Got logger
2022-08-05 17:44:40,876 | MainThread   | INFO  | Got logger
2022-08-07 11:00:21,703 | MainThread   | INFO  | Got logger
2022-08-07 11:07:17,331 | MainThread   | INFO  | Got logger
2022-08-07 11:24:21,523 | MainThread   | INFO  | text for .info()
2022-08-07 11:24:21,523 | MainThread   | INFO  | Got logger
2022-08-07 11:24:28,315 | MainThread   | INFO  | text for .info()
2022-08-07 11:24:28,315 | MainThread   | INFO  | Got logger
2022-08-07 11:24:52,755 | MainThread   | INFO  | text for .info()
2022-08-07 11:24:52,756 | MainThread   | INFO  | Got logger
2022-08-07 11:25:37,912 | MainThread   | INFO  | Got logger
2022-08-07 11:26:32,898 | MainThread   | INFO  | Got logger
2022-08-07 11:26:49,638 | MainThread   | INFO  | Got logger
2022-08-07 11:32:31,210 | MainThread   | INFO  | Got logger
2022-08-07 16:37:10,915 | MainThread   | INFO  | Got logger
2022-08-07 20:14:37,713 | MainThread   | INFO  | Got logger
2022-08-11 09:35:19,816 | MainThread   | INFO  | Got logger
2022-08-16 11:18:57,591 | MainThread   | INFO  | Got logger
2022-08-16 12:28:59,608 | MainThread   | INFO  | Got logger
2022-08-16 12:29:00,066 | MainThread   | INFO  | Got logger
2022-08-16 12:29:19,274 | MainThread   | INFO  | Got logger
2022-08-16 14:41:08,952 | MainThread   | INFO  | Got logger
2022-08-17 11:12:36,975 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:27:05,019 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:27:27,896 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:29:47,773 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:33:41,766 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:33:57,674 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:35:44,784 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:36:10,515 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:36:32,201 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:36:43,801 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:37:02,801 | MainThread   | INFO  | 'logger' has been gotten
2022-08-27 10:44:01,442 | MainThread   | INFO  | Got logger
2022-08-27 10:45:33,548 | MainThread   | INFO  | Got logger
2022-08-27 10:46:03,488 | MainThread   | INFO  | Got logger
2022-08-27 10:46:40,969 | MainThread   | INFO  | Got logger
2022-08-27 10:47:13,327 | MainThread   | INFO  | Got logger
2022-08-27 10:48:16,557 | MainThread   | INFO  | Got logger
2022-08-27 10:48:53,785 | MainThread   | INFO  | Got logger
2022-08-27 10:49:47,161 | MainThread   | INFO  | Got logger
2022-08-27 10:50:27,461 | MainThread   | INFO  | Got logger
2022-08-27 10:52:21,298 | MainThread   | INFO  | Got logger
2022-08-27 10:53:13,594 | MainThread   | INFO  | Got logger
2022-08-27 10:53:31,456 | MainThread   | INFO  | Got logger
2022-08-27 10:53:53,383 | MainThread   | INFO  | Got logger
2022-08-27 10:54:05,991 | MainThread   | INFO  | Got logger
2022-08-27 10:54:17,723 | MainThread   | INFO  | Got logger
2022-08-27 10:54:41,182 | MainThread   | INFO  | Got logger
2022-08-27 10:54:50,801 | MainThread   | INFO  | Got logger
2022-08-27 10:55:03,154 | MainThread   | INFO  | Got logger
2022-08-27 10:56:35,664 | MainThread   | INFO  | Got logger
2022-08-28 08:24:11,293 | MainThread   | INFO  | Got logger
2022-08-28 08:24:35,735 | MainThread   | INFO  | Got logger
2022-08-28 08:30:33,125 | MainThread   | INFO  | Got logger
2022-08-28 08:30:54,976 | MainThread   | INFO  | Got logger
2022-08-28 08:32:48,842 | MainThread   | INFO  | Got logger
2022-08-28 08:33:18,389 | MainThread   | INFO  | Got logger
2022-08-28 08:33:31,249 | MainThread   | INFO  | Got logger
2022-08-28 08:33:45,884 | MainThread   | INFO  | Got logger
2022-08-28 08:34:05,496 | MainThread   | INFO  | Got logger
2022-08-28 08:36:41,614 | MainThread   | INFO  | Got logger
2022-08-28 08:40:04,448 | MainThread   | INFO  | Got logger
2022-08-28 08:40:29,121 | MainThread   | INFO  | Got logger
2022-08-28 08:41:37,821 | MainThread   | INFO  | Got logger
2022-08-28 08:42:21,701 | MainThread   | INFO  | Got logger
2022-08-28 08:42:34,447 | MainThread   | INFO  | Got logger
2022-08-28 08:49:01,614 | MainThread   | INFO  | Got logger
2022-08-28 08:51:02,708 | MainThread   | INFO  | Got logger
2022-08-28 08:51:18,326 | MainThread   | INFO  | Got logger
2022-08-28 08:54:05,917 | MainThread   | INFO  | Got logger
2022-08-28 08:54:12,604 | MainThread   | INFO  | Got logger
2022-08-28 08:55:41,949 | MainThread   | INFO  | Got logger
2022-08-28 08:56:03,751 | MainThread   | INFO  | Got logger
2022-08-28 08:56:14,337 | MainThread   | INFO  | Got logger
2022-08-28 08:56:46,757 | MainThread   | INFO  | Got logger
2022-08-28 08:59:35,237 | MainThread   | INFO  | Got logger
2022-08-28 09:01:34,814 | MainThread   | INFO  | Got logger
2022-08-28 09:03:06,037 | MainThread   | INFO  | Got logger
2022-08-28 09:03:27,577 | MainThread   | INFO  | Got logger
2022-08-28 09:05:33,478 | MainThread   | INFO  | Got logger
2022-08-28 09:06:14,518 | MainThread   | INFO  | Got logger
2022-08-28 09:06:54,106 | MainThread   | INFO  | Got logger
2022-08-28 09:43:49,045 | MainThread   | INFO  | Got logger
2022-08-28 09:44:22,081 | MainThread   | INFO  | Got logger
2022-08-28 09:55:10,500 | MainThread   | INFO  | Got logger
2022-08-28 09:55:51,027 | MainThread   | INFO  | Got logger
2022-08-28 09:55:52,667 | MainThread   | INFO  | Got logger
2022-08-28 09:55:52,862 | MainThread   | INFO  | Got logger
2022-08-28 09:55:53,067 | MainThread   | INFO  | Got logger
2022-08-28 09:55:53,251 | MainThread   | INFO  | Got logger
2022-08-28 16:02:47,306 | MainThread   | INFO  | Got logger
2022-08-28 16:02:52,957 | MainThread   | INFO  | Got logger
2022-08-28 16:03:32,944 | MainThread   | INFO  | Got logger
2022-08-28 16:03:38,587 | MainThread   | INFO  | Got logger
2022-08-28 16:05:56,074 | MainThread   | INFO  | Got logger
2022-08-28 16:06:09,879 | MainThread   | INFO  | Got logger
2022-08-28 16:06:18,486 | MainThread   | INFO  | Got logger
2022-08-28 16:58:27,870 | MainThread   | INFO  | Got logger
2022-08-28 17:00:40,999 | MainThread   | INFO  | Got logger
2022-08-29 09:28:43,801 | MainThread   | INFO  | Got logger
2022-08-29 09:28:58,829 | MainThread   | INFO  | Got logger
2022-08-29 10:34:32,171 | MainThread   | INFO  | Got logger
2022-08-29 10:34:39,620 | MainThread   | INFO  | Got logger
2022-08-29 10:35:59,349 | MainThread   | INFO  | Got logger
2022-08-30 10:01:19,270 | MainThread   | INFO  | Got logger
2022-08-30 10:01:46,042 | MainThread   | INFO  | Got logger
2022-08-30 10:52:40,331 | MainThread   | INFO  | Got logger
2022-08-30 10:55:25,985 | MainThread   | INFO  | Got logger
2022-08-30 10:57:08,611 | MainThread   | INFO  | Got logger
2022-08-30 10:57:25,293 | MainThread   | INFO  | Got logger
2022-08-30 11:07:28,911 | MainThread   | INFO  | Got logger
2022-08-30 11:07:31,340 | MainThread   | INFO  | Got logger
2022-08-30 11:07:37,309 | MainThread   | INFO  | Got logger
2022-08-30 11:07:54,116 | MainThread   | INFO  | Got logger
2022-08-30 11:08:00,234 | MainThread   | INFO  | Got logger
2022-08-30 11:09:13,000 | MainThread   | INFO  | Got logger
2022-08-30 11:09:17,437 | MainThread   | INFO  | Got logger
2022-08-30 14:39:59,474 | MainThread   | INFO  | Got logger
2022-08-30 14:47:19,619 | MainThread   | INFO  | Got logger
2022-08-30 14:47:50,149 | MainThread   | INFO  | Got logger
2022-08-30 15:39:12,232 | MainThread   | INFO  | Got logger
2022-08-31 11:04:39,284 | MainThread   | INFO  | Got logger
Setting marker here ( checking if chrontab is running )
2022-09-03 10:50:22,138 | MainThread   | INFO  | Got logger
2022-09-03 10:54:05,352 | MainThread   | INFO  | Got logger
2022-09-03 10:55:44,883 | MainThread   | INFO  | Got logger
2022-09-03 11:02:07,409 | MainThread   | INFO  | Got logger
2022-09-03 11:02:18,590 | MainThread   | INFO  | Got logger
2022-09-03 11:02:27,335 | MainThread   | INFO  | Got logger
Things are working when run from terminal. Further investigation required!  
2022-09-03 12:12:08,714 | MainThread   | INFO  | Got logger
2022-09-03 12:12:33,149 | MainThread   | INFO  | Got logger
